Date,Close,CloseTarget,MACD,Stochastics,ATR
2010-06-29,23.889999,,0.552809701407,100.0,7.459999
2010-06-30,23.83,23.889999,0.274889502188,100.0,7.120001
2010-07-01,21.959999,23.83,-0.121635160076,100.0,5.65
2010-07-02,19.200001,21.959999,-0.483683394505,55.646497545,4.390001
2010-07-06,16.110001,19.200001,-0.690032894665,5.07366612111,4.17
2010-07-07,15.8,16.110001,-0.633416951703,0.0,1.649999
2010-07-08,17.459999,15.8,-0.490599861199,8.43621225592,1.95
2010-07-09,17.4,17.459999,-0.433602226885,7.20166518484,1.350001
2010-07-12,17.049999,17.4,-0.326557291447,0.0,1.07
2010-07-13,18.139999,17.049999,-0.124553532059,0.0,1.739999
2010-07-14,19.84,18.139999,0.0558318717082,0.0,2.39
2010-07-15,19.889999,19.84,0.135085130193,0.0,2.5
2010-07-16,20.639999,19.889999,0.235418645888,34.8257711443,1.41
2010-07-19,21.91,20.639999,0.290052944439,98.0099004975,1.610001
2010-07-20,20.299999,21.91,0.224840022372,30.0846906421,1.860001
2010-07-21,20.219999,20.299999,0.286318340176,26.69486157,1.4
2010-07-22,21.0,20.219999,0.369267279574,67.4657191781,1.030001
2010-07-23,21.290001,21.0,0.391810813695,83.7037077275,0.559999
2010-07-26,20.950001,21.290001,0.37815605318,77.0114995376,1.200001
2010-07-27,20.549999,20.950001,0.378562227719,67.8160533756,0.92
2010-07-28,20.719999,20.549999,0.40561144012,71.7240984542,0.39
2010-07-29,20.35,20.719999,0.411796529697,63.2183762716,0.879999
2010-07-30,19.940001,20.35,0.443749858718,53.7931140705,0.890002
2010-08-02,20.92,19.940001,0.515539524591,76.3218215352,1.029998
2010-08-03,21.950001,20.92,0.499765797823,100.0,1.130001
2010-08-04,21.26,21.950001,0.356267143105,100.0,1.33
2010-08-05,20.450001,21.26,0.214060172999,100.0,1.5
2010-08-06,19.59,20.450001,0.0929140344941,78.6561575716,0.930001
2010-08-09,19.6,19.59,0.012555221697,79.0514146448,0.529999
2010-08-10,19.030001,19.6,-0.0947550640683,56.5218009968,0.83
